User/Vedio,Yaw,Pitch,Roll,Time[s)
,82.7885,-34.25879,26.8388,17.00011735
,82.0678,-34.75419,27.3306,17.03484748
,81.3409,-35.27769,27.8904,17.06970107
,80.7054,-35.72389,28.3921,17.10144788
,80.0568,-36.15319,28.8915,17.13606341
,79.5,-36.47809,29.2879,17.16851843
,78.9778,-36.72979,29.6137,17.20376775
,78.6008,-36.86379,29.8116,17.23443031
,78.2204,-36.94599,29.9694,17.27039294
,77.9248,-36.96899,30.052,17.30091979
,77.5883,-36.95919,30.1032,17.33643396
,77.3022,-36.91659,30.114,17.36731405
,76.988,-36.83809,30.0997,17.40281196
,76.7329,-36.75949,30.0664,17.43438828
,76.4637,-36.67349,30.0181,17.46949788
,76.2562,-36.61139,29.9688,17.5006953
,76.081,-36.55929,29.9152,17.53580376
,75.9661,-36.52059,29.8735,17.56752548
,75.8668,-36.47489,29.8246,17.60293672
,75.7884,-36.42089,29.7704,17.6342191
,75.71,-36.34889,29.7039,17.66789064
,75.6412,-36.26949,29.6328,17.70028063
,75.5703,-36.17679,29.5525,17.73594505
,75.507,-36.09559,29.4824,17.76717896
,75.4181,-35.98359,29.3817,17.80117865
,75.2834,-35.81819,29.2396,17.83815426
,75.1174,-35.62949,29.0928,17.86847099
,74.8312,-35.32969,28.8838,17.90352699
,74.4463,-34.97059,28.6674,17.93580067
,73.8616,-34.50049,28.4051,17.97032695
,73.2013,-34.04619,28.1384,18.00046864
,72.2491,-33.48819,27.7784,18.0365014
,71.3376,-33.02059,27.4466,18.06796312
,70.3121,-32.53519,27.091,18.1027725
,69.4282,-32.13349,26.7947,18.13449736
,68.5003,-31.70729,26.4982,18.16971416
,67.6808,-31.31839,26.2538,18.20112083
,66.8083,-30.91289,26.0117,18.23544869
,65.9711,-30.55029,25.8158,18.26784469
,65.088,-30.18589,25.6345,18.30299963
,64.3304,-29.86659,25.4845,18.33452207
,63.5211,-29.49729,25.3293,18.36997266
,62.8353,-29.15419,25.1971,18.40152361
,62.1105,-28.76189,25.0517,18.43585488
,61.4649,-28.38889,24.9221,18.46690717
,60.721,-27.91949,24.7586,18.5032393
,60.1255,-27.51229,24.6113,18.53397143
,59.4972,-27.07129,24.4689,18.5693114
,59.0168,-26.71879,24.3655,18.60078708
,58.5653,-26.34159,24.2544,18.63571252
,58.2222,-25.99789,24.1554,18.66720075
,57.8934,-25.57489,24.0159,18.70214186
,57.6312,-25.11239,23.8399,18.73374611
,57.3876,-24.47059,23.5651,18.76904161
,57.2201,-23.66049,23.1785,18.80355337
,57.1464,-22.70399,22.7083,18.83518101
,57.15,-21.53839,22.1296,18.87044429
,57.1989,-20.54129,21.6322,18.90097087
,57.2819,-19.41369,21.0627,18.93634475
,57.3619,-18.40179,20.5359,18.96791879
,57.4244,-17.27019,19.9262,19.00384693
,57.455,-16.34889,19.4205,19.03448384
,57.4669,-15.36899,18.88,19.06909395
,57.4611,-14.58619,18.4538,19.10044503
,57.4241,-13.83399,18.0696,19.13615364
,57.361,-13.28269,17.7972,19.16759511
,57.2689,-12.77349,17.5322,19.20307792
,57.1827,-12.42109,17.3242,19.23444298
,57.089,-12.12099,17.1233,19.26936327
,56.9905,-11.87529,16.9519,19.3015021
,56.8583,-11.61669,16.7738,19.33481584
,56.6815,-11.34889,16.5892,19.36698774
,56.3994,-11.00639,16.3456,19.40232144
,56.055,-10.65519,16.0815,19.43371674
,55.5569,-10.20449,15.7218,19.46908922
,55.0427,-9.78869,15.3725,19.50031286
,54.4165,-9.34329,14.9741,19.53460422
,53.7856,-8.93359,14.5741,19.56715217
,53.103,-8.52949,14.1496,19.602296
,52.446,-8.18339,13.7612,19.63682056
,51.8747,-7.90359,13.4296,19.66841399
,51.2643,-7.63319,13.0957,19.70430163
,50.7509,-7.43889,12.8382,19.73559456
,50.1854,-7.26919,12.5829,19.77013937
,49.6515,-7.15349,12.3837,19.80148103
,49.0084,-7.06959,12.1961,19.83654131
,48.3752,-7.02339,12.0543,19.8678944
,47.6082,-7.00319,11.9247,19.90309238
,46.8844,-7.00679,11.8402,19.93474625
,46.0475,-7.04959,11.8005,19.9702188
,45.2525,-7.14539,11.8278,20.00163661
,44.293,-7.34189,11.9521,20.03640608
,43.3364,-7.63119,12.1845,20.06728419
,42.1335,-8.08389,12.6145,20.10340049
,41.1081,-8.52619,13.0746,20.13374545
,39.8938,-9.12329,13.7706,20.1694016
,38.8086,-9.73459,14.5473,20.20035298
,37.5367,-10.55149,15.6033,20.23594756
,36.4211,-11.31779,16.6,20.26687612
,35.1644,-12.21579,17.754,20.30230932
,34.0621,-13.03359,18.8217,20.33361337
,32.8799,-13.95539,20.0454,20.36825541
,31.7573,-14.86939,21.2709,20.40353693
,30.8221,-15.66459,22.3415,20.4350836
,29.8105,-16.52019,23.5483,20.47043439
,28.9831,-17.18169,24.5151,20.50109952
,28.0522,-17.84949,25.5347,20.53674085
,27.2303,-18.37269,26.3486,20.56828637
,26.3103,-18.89209,27.1565,20.6037572
,25.4822,-19.30449,27.7847,20.63513309
,24.5089,-19.73279,28.4212,20.67047419
,23.6234,-20.07839,28.9099,20.70092892
,22.5204,-20.47539,29.4008,20.736418
,21.4637,-20.83559,29.7763,20.76800545
,20.154,-21.27439,30.1367,20.80324535
,18.8306,-21.71279,30.4065,20.83456879
,17.2116,-22.20349,30.6584,20.86887156
,15.6132,-22.63239,30.8601,20.90107881
,13.9817,-22.99939,31.0256,20.93550675
,12.4215,-23.25549,31.1335,20.97105769
,11.2174,-23.37419,31.1683,21.00196288
,10.1183,-23.41339,31.1489,21.03351497
,9.05397,-23.40119,31.0435,21.06855244
,8.13949,-23.34659,30.876,21.1005778
,7.21125,-23.24419,30.6403,21.13545276
,6.32911,-23.10259,30.366,21.17006515
,5.5534,-22.94679,30.1068,21.20151376
,4.74691,-22.74319,29.8372,21.23679528
,4.08849,-22.54019,29.6174,21.26809134
,3.42768,-22.30039,29.4013,21.30294664
,2.8641,-22.06259,29.2261,21.33475333
,2.24918,-21.78179,29.0541,21.37008618
,1.70227,-21.53259,28.9408,21.40119493
,1.0537,-21.26179,28.8829,21.43673276
,0.491476,-21.05699,28.8948,21.4678227
,-0.12099,-20.86669,29.001,21.50290436
,-0.707778,-20.70819,29.1643,21.53471589
,-1.39495,-20.54569,29.3682,21.56953125
,-2.03553,-20.41379,29.537,21.6007455
,-2.81824,-20.26679,29.7109,21.63611568
,-3.58802,-20.14569,29.8425,21.66767432
,-4.51405,-20.02559,29.9511,21.70217666
,-5.44926,-19.92829,30.0257,21.7339996
,-6.56412,-19.84539,30.0991,21.76920557
,-7.61045,-19.80149,30.1831,21.80071291
,-8.76628,-19.78549,30.3104,21.83482524
,-9.86029,-19.78519,30.4606,21.86727054
,-10.9517,-19.78479,30.6397,21.90222561
,-11.8599,-19.77259,30.7852,21.93393764
,-12.7668,-19.73419,30.9139,21.96869884
,-13.5375,-19.68569,30.996,22.00058222
,-14.3669,-19.62119,31.0409,22.03580758
,-15.1878,-19.56159,31.0458,22.07018533
,-15.9191,-19.51189,31.0268,22.10183236
,-16.6194,-19.46409,30.9815,22.13334995
,-17.3524,-19.41319,30.9101,22.16825541
